node_name,change_efficiency,degree,sum_edge_weights,eigen_centrality,betweenness,bonacich,sex_binary,perc_related
ID0091,-0.00568311119376635,13,1.1964592708633,0.086677391830312,96,0.022612522972719,0,0.15384615384615385
ID0002,5.97292107898384e-5,29,1.56896534936222,0.0981673405055462,5,0.0168129508545809,1,0.3103448275862069
ID0010,-4.30809952037092e-4,39,3.96561457364648,0.116179810463725,6,0.0202455563182689,1,0.3076923076923077
ID0012,-0.00722088809441468,27,1.92934332863326,0.109158876675241,153,0.0151020103895392,0,0.3333333333333333
ID0042,-0.0016495937151062,61,5.88226655659636,0.274221363304042,172,0.0075411968056654,1,0.22950819672131148
ID0054,-0.00128033051202386,55,5.14913766188455,0.237839722149255,99,0.00423902822546864,1,0.34545454545454546
ID0060,-0.0015081806536586,38,3.07017331221987,0.175251508170172,252,0.00544916760825705,0,0.15789473684210525
ID0064,-0.00107009747527043,43,7.32351157810983,0.937725265858541,45,0.0119292681331658,0,0.18604651162790697
ID0112,-0.00121919150313526,44,3.97959418792746,0.217502073469558,27,0.00488843073883284,0,0.2727272727272727
ID0129,-8.77837427863126e-4,41,4.58151143231504,0.177971886603094,21,0.00492161341846504,1,0.4634146341463415
ID0004,-9.03633444190421e-4,38,5.88639123931997,0.63060150771215,6,0.00382140136223804,0,0.18421052631578946
ID0013,-9.51475415381486e-4,39,3.71650575934824,0.387830824157163,25,0.00472657433376709,1,0.20512820512820512
ID0003,9.85294893902477e-4,13,1.83344945704702,0.196237068282693,0,0.00634568870751823,0,0
ID0031,-5.4170310365742e-4,29,4.98288182048025,0.568678729297475,34,0.00910907487487069,0,0.27586206896551724
ID0043,-6.66983113757458e-4,37,5.87794992181673,0.744239330425496,6,0.00142444922531216,0,0.24324324324324326
ID0053,0.00147491346832895,9,0.659506509042113,0.0499441244883371,0,0.0158066083331823,0,0
ID0075,-0.00109631067753729,45,7.82774754240388,0.997797538245857,21,0.0119183931553857,0,0.2
ID0087,-0.00115431164330088,45,7.8669143532973,1,16,0.0119183931553858,0,0
ID0122,-0.00110660231300974,39,6.03453830212292,0.637666922020252,22,0.0196723623211448,0,0.20512820512820512
ID0005,-0.00848154358877118,46,4.33095043683022,0.342759265607788,127,0.0153166223712538,1,0.2826086956521739
ID0014,-0.00110980825654478,46,7.44178018292894,0.947757710720878,138,0.0148413718184066,0,0.17391304347826086
ID0019,-2.46824614670071e-4,30,2.39104297751788,0.121424756397322,51,0.0112079519047727,1,0.23333333333333334
ID0067,-8.27568999120787e-4,35,5.38515123962259,0.581757103996594,30,0.0258680178441862,0,0.2571428571428571
ID0070,-0.00110121351425763,42,6.32114709445336,0.79814991029526,20,0.00964986420891111,0,0
ID0073,9.7774373135695e-4,7,0.777735913511776,0.0391890625923655,6,0.00693132588288697,0,0.2857142857142857
ID0080,-7.51877065476525e-4,45,4.23872349375771,0.249826006674829,6,0.0146831499166673,1,0.26666666666666666
ID0094,-7.52054844095462e-4,36,5.82720324951301,0.636639373822158,8,0.00547831322956721,0,0.1388888888888889
ID0103,-0.00149249351197001,60,5.47387203519381,0.256239937911905,216,0.00905161106267453,1,0.3
ID0123,-5.15740366724249e-4,41,3.340449143725,0.285476590765582,6,0.0085604782313128,1,0.2682926829268293
ID0015,-4.86977347229467e-4,39,3.92118884867067,0.120730666047927,41,0.0217948170722122,0,0.3076923076923077
ID0036,0.00101342248294212,9,0.829253268705601,0.0222660684374879,2,0.0122329700389988,1,0.3333333333333333
ID0038,0.00148288951455572,6,0.532080866132591,0.0209765562006109,0,0.00824736368821002,1,0.5
ID0057,-5.60484165262554e-4,37,4.58649922313985,0.123420770708837,0,0.0158954184664824,0,0.3783783783783784
ID0066,-8.1719596998131e-4,41,3.23570864325404,0.167784373771373,5,0.00764112621874014,0,0.3902439024390244
ID0069,-7.91953471301898e-4,45,3.97929160342099,0.159315299827233,9,0.0136916180020864,1,0.24444444444444444
ID0078,-9.30439696819663e-4,45,4.02935482205473,0.33309830093101,75,0.00586997820407371,1,0.2
ID0083,-0.00106282430853766,45,7.6188170973199,0.978563498833855,61,0.0119183931553858,0,0.2222222222222222
ID0119,-8.99352584143698e-4,43,4.61963679227131,0.150546308253617,19,0.0133689209496501,1,0.37209302325581395
ID0126,-0.00108810253143948,42,5.31905839552607,0.181524609941584,103,0.00925861024271632,1,0.23809523809523808
ID0130,-0.00113792739845603,45,4.49751240740775,0.304421453753203,155,0.0161907029631353,1,0.24444444444444444
ID0011,-4.66420585565674e-4,34,4.90771582050928,0.127330382275244,4,0.0119857074105452,0,0.4411764705882353
ID0025,9.35220165885986e-4,13,0.717097620301424,0.0213007345135837,28,0.0148344715939003,1,0.5384615384615384
ID0029,-0.00214440870701726,67,5.44010268999353,0.21884095409832,550,0.0171954714749396,1,0.22388059701492538
ID0033,-1.11672506725335e-4,30,4.08049420445042,0.113984636920431,8,0.0111742684039125,1,0.3333333333333333
ID0050,-1.48517589019403e-4,31,4.13827633076501,0.118410906774862,0,6.79375007375814e-4,1,0.3870967741935484
ID0055,-0.00133307169612318,58,5.14963050061004,0.233936619825087,16,0.011405760903287,1,0.3275862068965517
ID0068,1.94486814302675e-4,30,2.47902927397267,0.0746151605897131,11,-0.00106905691546086,1,0.3333333333333333
