node_name,change_efficiency,degree,sum_edge_weights,eigen_centrality,betweenness,bonacich,mothers,children
R1,-2.96888026450837e-4,87,4.830649295,0.199411764999646,0,0.00496540997647614,0,0
R2,-3.05323014829162e-4,87,4.923908209,0.202964972842456,35,0.00496540997647613,0,0
R3,-3.05577269249402e-4,87,4.909405314,0.202235458230327,0,0.00496540997647615,0,0
R4,7.93405304533201e-4,56,3.713425413,0.0251257032731977,0,0.0064399343867676,0,0
R5,8.12303877934129e-4,55,3.543154661,0.0229791367675112,0,0.00255076494161769,0,0
R6,7.77174894469712e-4,56,3.820714233,0.0253022535693582,4,0.00643993438676757,0,0
R7,8.44656326725812e-4,54,3.609524626,0.0233966041847554,0,0.010523970670864,0,0
R8,5.7544374297297e-4,59,3.125671936,0.0221546148827846,24,0.0259014062216996,0,0
R9,8.22947489933668e-4,54,3.49547978,0.0232821093122131,0,0.010523970670864,0,0
R10,-2.94307714409192e-4,81,6.032771148,0.313435505351947,0,0.00622331738961156,0,0
R11,-3.01044020597441e-4,81,6.117544845,0.317513740654686,11,0.0062233173896116,0,0
R12,-1.86975887833396e-4,87,3.312372709,0.155692330855535,7,0.0292517393630546,0,0
R13,3.36823927695129e-4,69,3.007172062,0.109705053409345,2,-0.00792386266227786,0,0
R14,8.91399037550311e-6,76,3.828419933,0.137839116484114,12,0.0145192721793859,0,0
R15,7.09183906409394e-5,76,3.622035796,0.136570305541677,0,0.0145192721793859,0,0
R16,-4.51742418731305e-4,88,5.452255655,0.288019010934732,89,0.0103257625232165,0,0
R17,-1.79924938489673e-4,80,4.011408651,0.0649210032344286,16,0.0135671795849875,0,0
R18,3.67548198020706e-4,66,3.292464821,0.0459828536062405,1,-0.00222155373757352,0,0
R30,-3.25658739185275e-4,89,4.112534166,0.082920889383265,9,0.0123890721435112,0,0
R31,-4.26383217023818e-4,93,4.46439644,0.0961665003739596,6,0.00874136934786609,0,0
R21,-8.69573724261441e-5,83,3.966658534,0.0883033569577418,0,0.00757562743925788,0,0
R22,-2.80998619034689e-4,83,5.487718102,0.097555596024578,0,0.00757562743925785,1,0
R22.89,-1.38356498654568e-5,62,4.233876811,0.0760063295080255,0,0.00498768616075785,0,1
R23,-2.86126446667978e-4,83,5.371140274,0.095298087493851,21,0.00757562743925784,0,0
R24,-2.75274775017376e-4,83,5.404070774,0.0960605339026334,0,0.00757562743925784,0,0
R25,2.40383292351765e-4,73,2.61290077,0.0433971921411025,5,0.0172132245493896,0,0
R26,2.25833144410825e-4,75,2.620622154,0.0433008107772649,0,0.0180638241165622,0,0
R27,-7.27236485161487e-4,89,5.306420406,0.10922967297109,62,0.0152208509178658,1,0
R27.89,2.10966919787725e-4,34,3.462870665,0.0580302616631157,0,0.0279549642665457,0,1
R28,-7.67063845680371e-4,89,5.315021025,0.10877773142803,63,0.0152208509178658,1,0
R28.90,2.42447030704418e-4,35,3.827861127,0.0641657558564484,0,-0.00563905778478458,0,1
R29,-3.60261192239586e-4,88,4.888896978,0.108006151959804,0,0.00574865807319245,0,0
M16,-4.12945554655819e-4,81,7.770808051,0.547105988309153,31,0.0131206557087349,0,0
M17,-3.81465904941369e-4,79,7.586389491,0.551645284808716,37,0.0119195858877688,0,0
M18,-4.65235988398871e-5,73,5.946732379,0.439068226506162,0,0.0175648756679193,0,0
M19,-3.33165003312097e-4,81,7.276491778,0.515860858619752,0,0.0131206557087348,0,0
M20,-2.56887970941144e-4,76,6.877281138,0.511080333035448,3,0.00928543644386881,0,0
R34,-1.88984389007996e-4,86,3.622191455,0.0771300658346583,2,0.0177970987603831,0,0
R35,-1.88039081844782e-4,86,3.597596718,0.076777886408447,4,0.0177970987603829,0,0
R36,-3.71025667634528e-4,87,4.807095716,0.133299705778487,0,0.00531637684963738,0,0
R37,-3.67034734251426e-4,87,4.702785081,0.130962275539369,4,0.00531637684963737,0,0
R38,-3.88172905607942e-4,88,4.879642822,0.13237618162391,14,0.00373042887374817,0,0
M1.88,0.00185770506245236,11,3.192947187,0.440426375939195,0,0.00529988689903507,0,0
M2,-2.71328716807573e-4,67,8.360584905,1,61,0.00908189565787316,0,0
M3,4.73352521745962e-6,67,6.375435669,0.770533705336995,0,0.0090818956578732,0,0
M4,-2.42275664066205e-4,67,8.305362324,0.992614230237874,0,0.0090818956578732,0,0
M5,-2.23585670553306e-4,67,8.129618315,0.973094233696914,0,0.0090818956578732,0,0
M6,-1.28509291209944e-4,67,7.266743906,0.880641009949428,0,0.0090818956578732,0,0
M7,-0.00143165371030818,79,6.641250013,0.743006893038883,117,-0.00453988173774198,0,0
M8,-0.00110598743920259,67,8.032720063,0.939536631372012,94,0.00908189565787321,1,0
M8.88,7.13276974419641e-4,10,4.00547216,0.556670525997426,0,-0.00417230594563827,0,1
M9,-6.88245025479983e-4,74,5.225969587,0.626478902955959,67,0.0345679560250361,0,0
M10,-2.59132000777484e-4,67,8.273335113,0.988898982074462,1,0.00908189565787318,0,0
M24,-3.63200815747089e-4,90,5.14241595,0.143033445283649,0,0.0167542848937139,0,0
M25,-3.66433556625856e-4,88,5.174289412,0.14024674182153,2,0.0159036853265412,0,0
M26,-3.3456196273296e-4,87,4.929017649,0.13759711709264,0,0.0151971685283964,0,0
M27,-3.31492164942715e-4,89,4.197183782,0.121686541956034,0,0.00766592876674139,0,0
M28,-3.45418495176386e-4,89,4.286758889,0.123615225719477,9,0.0076659287667414,0,0
M30,2.50397055480689e-5,77,4.410539779,0.150424512684155,0,-0.00682105853418318,0,0
M31,-8.20443406607752e-4,94,6.139526297,0.203532133386171,40,0.0149905868590266,1,0
M31.88,2.27010374494963e-4,57,3.62843342,0.111356903071659,0,0.0117203872699977,0,1
M32,-4.88660008749364e-4,92,6.110797821,0.205736356154612,5,0.00922304513205892,0,0
M33,3.19418394654714e-4,69,3.381574096,0.129923926871261,2,0.0101731061925683,0,0
M34,3.53967103868313e-4,70,3.155724298,0.128265261297477,0,0.0167839953381836,0,0
M35,3.2681777127197e-4,71,3.224334227,0.12512139065288,0,0.0163370777325121,0,0
M36,3.487353666905e-4,68,3.26482206,0.130574167557958,0,0.0187373122965139,0,0
M37.89,0.00101408532868713,40,2.25919584,0.0933084924704759,0,0.00934400210532236,0,0
M39,-5.29147404429164e-4,91,3.554308289,0.110392952503953,43,0.0138069989753397,0,0
M45,-6.60335477049856e-4,94,7.520853665,0.250434865320992,1,0.0149905868590266,0,0
M46,-6.58562565471033e-4,94,7.515888462,0.250630492705173,6.25,0.0149905868590266,0,0
M47,-6.60882217900949e-4,94,7.563557419,0.251441791952307,5.75,0.0149905868590266,0,0
M48,-2.90484414176062e-4,92,3.824769581,0.0992154836010423,4,-7.30823496807263e-4,0,0
M49,-2.04245558113103e-4,89,3.14397943,0.087027631283049,0,-0.00977946980717815,0,0
M50,1.87755606106177e-4,65,3.304296749,0.0509259115369808,13,0.012333865061773,0,0
M51,2.72786534779745e-4,67,3.427946242,0.0497676030381423,7,0.0119192150577232,0,0
M52,-7.2836568921042e-5,76,4.720356556,0.0620142202343357,18,0.0194883388357233,0,0
M53,3.23635256299026e-4,65,3.348859678,0.0504079574943591,7,0.00924424712133068,0,0
M54,-7.1829042088134e-6,72,4.447731435,0.0553961326834694,11,0.00908730040325038,0,0
M55,-5.85667489515496e-5,76,4.717479682,0.0620510258499897,4,0.0194883388357233,0,0
M56,-3.47437714267207e-4,63,7.433791276,0.522554307317037,73,0.00312526961505767,1,0
M56.87,0.00128043538773842,14,2.279684096,0.163267759769965,0,0.022805788696029,0,1
M57,-5.78220785888428e-5,64,7.16629383,0.511990041097373,11,0.00413852530909019,0,0
M58,-2.16915567654463e-4,70,7.776875382,0.595591202770091,2,0.00848350227588545,0,0
M59,-1.92468956060787e-4,70,7.606045833,0.584268338501525,0,0.00848350227588542,0,0
M60,-1.91940568803006e-4,70,7.593237213,0.583176684894864,0,0.00848350227588542,0,0
M61,-2.37833422287947e-4,70,7.792270658,0.596298820759037,33,0.00848350227588542,0,0
M63,4.949472764193e-6,81,3.42251798,0.0946198720926411,0,0.0130972265531951,0,0
M64,3.40865870873674e-6,81,3.445595245,0.0952974982845602,0,0.0130972265531951,0,0
M65,3.92852683596512e-4,71,2.358389907,0.0390211387316686,0,0.0109733303067364,0,0
M67,1.94751689772177e-4,69,3.055762652,0.031823771363993,51,0.0127415121335676,0,0
M68,4.06559583141841e-4,65,2.700525337,0.0300021006241384,9,0.0102753348557806,0,0
M69,5.68159829483939e-4,60,2.025901951,0.0322385811074598,0,0.00713545772192954,0,0
M70,4.64031154079669e-4,65,2.32033675,0.0350457346761584,3,0.00343211400771046,0,0
