node_name,change_efficiency,degree,sum_edge_weights,eigen_centrality,betweenness,bonacich,mothers,children
R5.97,5.62575178141289e-4,71,3.029728636,0.141169348052973,0,0.0074158441803831,0,0
R7,4.09649221475239e-4,83,3.787863341,0.194814571542702,0,0.00961015885696295,1,0
R7.92,3.92808163875991e-4,83,3.820655676,0.194765197962686,11,0.00961015885696295,0,1
R8.00,1.1027645015127e-4,58,3.958751012,0.250810278833002,0,0.00643803011529221,0,0
R10.98,4.85709090668918e-4,72,4.943812605,0.305736820609454,0,0.00717713580467171,0,0
R10.91,3.47731227976489e-4,75,5.737103633,0.341091440920298,22,0.00937445787720978,0,0
R10.87,4.00933278039806e-4,72,5.512625705,0.328678683512488,18,0.0090183775346544,0,0
R11,5.1244678948803e-4,64,4.711289145,0.270787584633685,0,0.00998482163888682,1,0
R11.95,5.04005123691975e-4,66,5.100606939,0.316150321581891,2,0.00626443745209821,0,1
R13.95B,6.84693934283054e-5,94,4.940767862,0.433878053868807,4,0.0101717926226514,0,0
R19.88,-2.8843139158663e-4,109,9.707413947,0.992150682667028,5.5,0.00878520531100661,0,0
R17,2.43022696866158e-4,84,4.652728666,0.297449022115994,0,0.00667747045524179,1,0
R17.88,2.49038468028484e-4,88,4.536348507,0.275911340323854,3,0.00923895999528077,0,1
R18,-1.48008258130328e-4,104,6.441464639,0.411748317666194,53,0.00984351747259,1,0
R18.99,1.29492191935587e-4,95,5.42617605,0.352031898648041,5,0.00880041698995134,0,1
R31,-3.21272262590933e-4,112,6.985666167,0.483257212224258,66,0.00717418925242992,1,0
R31.96,-2.32645614301918e-4,112,6.514403264,0.452494889580423,4,0.00717418925243004,0,1
R22.99,-2.6272243497294e-4,111,7.947221582,0.718967117382742,0,0.00944387174737417,0,0
R22.92,-1.77006592125162e-4,112,5.944717933,0.52531144327554,0,0.00964112069761933,0,0
R22.89,-3.42808721751298e-4,116,8.384081377,0.754451211758572,0,0.00592394350347817,0,0
R23,-3.76184234093468e-4,116,8.914559461,0.80063327382761,4,0.0068988211992271,1,0
R23.93,-2.88841047376587e-4,110,7.999145165,0.726422813539709,0,0.00772641373458784,0,1
R24,-3.86708141501546e-4,117,9.213567623,0.823221563429574,8,0.00675798361495244,0,0
R25.96,-7.27941190336034e-5,107,5.549994975,0.339726057658889,3,0.0081084523509015,0,0
R26,-1.13069286305612e-4,106,5.580061561,0.340493825675941,42,0.0086782551565348209,1,0
R26.00,1.61125600380507e-4,83,4.961294294,0.310086364943384,0,0.012221900811879,0,1
R27.99,-1.95783905180713e-4,111,6.173635421,0.420975399337553,0,0.00859112801825502,0,0
R27.97,-1.81741620919329e-4,111,5.982531502,0.405638688712389,0,0.00859112801825497,0,0
R28.99,-1.88875881552475e-4,111,6.135172127,0.416996003319151,0,0.00859112801825494,0,0
R28.9000,2.43365449962174e-4,88,4.082384728,0.251434448085224,6,0.00946665904998859,0,0
R29,-1.95371037530645e-4,111,6.265646802,0.42509414627639,0,0.00859112801825507,0,0
M17,-3.8120210559478e-4,96,7.925722519,0.592359354195889,55,0.0107193148402916,1,0
M17.95,-2.2878010143379e-4,100,8.070602094,0.604064326817833,47,0.0106241511766622,0,1
