,R5.97,R7,R7.92,R8.00,R10.98,R10.91,R10.87,R11,R11.95,R13.95B,R19.88,R17,R17.88,R18,R18.99,R31,R31.96,R22.99,R22.92,R22.89,R23,R23.93,R24,R25.96,R26,R26.00,R27.99,R27.97,R28.99,R28.9000,R29,M17,M17.95,M17.90,M17.86,M18,M18.99a,M18.95,M19.99,M19.95,M20.95,R33,R38.01,M1.8800,M2,M2.96,M4,M5,M6,M6.99,M8.98,M8.91,M8.9102,M8.88,M8.8800,M9,M9.96,M10,M11.91,M12,M13.02,M14,M14.93,M23.91,M24.04,M24.90,M25,M25.00,M26,M27.91,M28.97,M28.94,M30,M30.97,M31,M33,M33.95,M34.92,M35,M35.91,M41,M45.97,M45.93,M46,M47,M48,M48.97,M48.93,M52.92,M53.95B,M54.00,M56,M56.91,M56.9101,M56.87,M57.95,M58.91,M61,M62.95,M62.91,M63,M63.01,M63.94,M64.99,M64.95,M65.93,M67.90,M68,M68.00,M69,M69.93,M71.00,M72,M73.90,M77,M78,S91.97,S91.93,S92,S92.94
M11.91,1,1,1,1,0.941176471,0.927272727,0.929824561,0.962962963,0.921568627,0.795454545,0.943089431,0.965517241,0.96875,0.976470588,0.983870968,0.984,0.991869919,0.952755906,0.943396226,0.964285714,0.951388889,0.954887218,0.938356164,1,1,1,0.972413793,0.979166667,0.963768116,0.982142857,0.972027972,0.957746479,0.96969697,0.957446809,0.98245614,0.979591837,0.947368421,0.978723404,0.962962963,0.9625,0.986111111,0.98,0.918918919,0.977011494,0.923076923,0.971223022,0.964028777,0.964539007,0.982758621,1,0.976470588,0.975,1,0.961538462,0.955555556,0.978723404,0.992592593,0.963768116,0,0.228571429,0.090909091,0.461538462,0.176470588,0.956989247,0.970588235,0.952,0.948148148,0.961832061,0.916666667,0.972972973,0.974576271,0.975409836,0.936842105,0.952941176,0.929824561,0.963414634,0.974683544,0.955223881,0.952380952,0.936507937,0.918918919,0.967741935,0.942622951,0.944444444,0.952380952,0.960784314,0.96039604,0.960784314,0.96875,0.989361702,0.958333333,0.926470588,0.924242424,0.956521739,0.924242424,0.940298507,0.973684211,0.945945946,1,1,0.948529412,0.939393939,0.9609375,0.976190476,0.9375,1,1,0.984615385,1,0.97029703,0.958333333,0.94047619,0.95049505,0.941176471,0.988764045,0.952380952,0.927536232,0.923076923,0.913580247,0.927536232
M12,1,0.987951807,0.988095238,1,0.945454545,0.93220339,0.93442623,0.965517241,0.927272727,0.836734694,0.94488189,0.967213115,0.970588235,0.97752809,0.984615385,0.984496124,0.992125984,0.954198473,0.945454545,0.965277778,0.952702703,0.95620438,0.94,0.993548387,0.993548387,0.980769231,0.966216216,0.972789116,0.957446809,0.983050847,0.965753425,0.96,0.956521739,0.960784314,0.966101695,0.980769231,0.947368421,0.980392157,0.952380952,0.951807229,0.973333333,0.962264151,0.947368421,0.978021978,0.926470588,0.972027972,0.965034965,0.965517241,0.983333333,1,0.97752809,0.976190476,1,0.962962963,0.957446809,0.979310345,0.992805755,0.964788732,0.228571429,0,0.090909091,0.358974359,0.166666667,0.958762887,0.970588235,0.961538462,0.957142857,0.962962963,0.920634921,0.973913043,0.983739837,0.984251969,0.95,0.966666667,0.941176471,0.965116279,0.975903614,0.957746479,0.954545455,0.940298507,0.926829268,0.935483871,0.944444444,0.946153846,0.953846154,0.962264151,0.961904762,0.962264151,0.970588235,0.989795918,0.958333333,0.915492958,0.913043478,0.956521739,0.913043478,0.928571429,0.976190476,0.951219512,0.982142857,0.98245614,0.95,0.970588235,0.969924812,0.977272727,0.947368421,0.993197279,1,0.985507246,1,0.961538462,0.961538462,0.931034483,0.942307692,0.944444444,0.989247312,0.954545455,0.945945946,0.926829268,0.917647059,0.931506849
M13.02,1,0.964285714,0.964285714,1,0.9375,0.944444444,0.941176471,1,0.9375,0.533333333,0.904761905,0.909090909,0.947368421,0.961538462,0.958333333,1,1,0.933333333,0.941176471,0.93877551,0.958333333,0.977777778,0.918367347,0.982142857,0.98245614,0.981132075,0.9375,0.959183673,0.934782609,1,0.936170213,0.956521739,0.952380952,0.95,1,1,0.95,0.954545455,0.925925926,0.916666667,0.958333333,1,0.921052632,1,NA,1,1,1,0.96969697,1,1,1,1,1,1,0.976190476,1,1,0.090909091,0.090909091,0,0.090909091,0.166666667,1,0.971428571,0.941176471,0.945945946,0.973684211,NA,0.970588235,0.944444444,0.942857143,0.939393939,0.935483871,0.911764706,0.952380952,0.952380952,0.952380952,0.952380952,0.941176471,0.866666667,0.935483871,0.904761905,0.904761905,0.930232558,0.945945946,0.947368421,0.945945946,1,1,0.96,0.875,0.869565217,0.958333333,0.869565217,0.916666667,1,0.9375,1,1,0.891891892,0.941176471,0.918918919,NA,0.914285714,0.981132075,1,1,1,0.967741935,NA,0.931034483,0.90625,NA,0.966666667,0.954545455,0.956521739,0.851851852,0.84,0.833333333
M14,0.986842105,0.975,0.975308642,1,0.943396226,0.929824561,0.93220339,0.964285714,0.924528302,0.804347826,0.935483871,0.966101695,0.96969697,0.977011494,0.984615385,0.984251969,0.992,0.953488372,0.944444444,0.957446809,0.952054795,0.955555556,0.939189189,0.993464052,0.993464052,0.980769231,0.972789116,0.979452055,0.964285714,0.98245614,0.972413793,0.95890411,0.955223881,0.959183673,0.964912281,0.98,0.947368421,0.979591837,0.951219512,0.950617284,0.97260274,0.960784314,0.918918919,0.97752809,0.940298507,0.971631206,0.971830986,0.972222222,0.983050847,1,0.977011494,0.987951807,1,0.971962617,0.967741935,0.986111111,0.99270073,0.971631206,0.461538462,0.358974359,0.090909091,0,0.4,0.96875,0.970588235,0.952755906,0.956521739,0.970149254,0.935483871,0.973451327,0.975,0.975806452,0.948979592,0.954022989,0.94017094,0.964285714,0.975308642,0.956521739,0.953488372,0.938461538,0.923076923,0.935483871,0.93495935,0.937007874,0.94488189,0.961538462,0.961165049,0.961538462,0.985074627,1,0.958333333,0.913043478,0.910447761,0.956521739,0.910447761,0.926470588,0.975,0.948717949,0.981481481,0.981818182,0.949275362,0.939393939,0.969465649,1,0.946564885,0.993103448,1,0.985074627,1,0.970873786,0.958333333,0.903614458,0.92,0.939393939,0.989010989,0.954545455,0.898550725,0.883116883,0.902439024,0.914285714
M14.93,1,0.987951807,0.988095238,1,0.945454545,0.93220339,0.93442623,0.965517241,0.927272727,0.836734694,0.936507937,0.967213115,0.970588235,0.97752809,0.984615385,0.984496124,0.992125984,0.962121212,0.954954955,0.965277778,0.952702703,0.95620438,0.947019868,0.993548387,0.993548387,0.981132075,0.966216216,0.972789116,0.957446809,0.983050847,0.965753425,0.96,0.956521739,0.960784314,0.966101695,0.980769231,0.95,0.980392157,0.952380952,0.951807229,0.973333333,0.960784314,0.921052632,0.978021978,0.925373134,0.972027972,0.965034965,0.965517241,0.983333333,1,0.97752809,0.976190476,1,0.962962963,0.957446809,0.979310345,0.992805755,0.964788732,0.176470588,0.166666667,0.166666667,0.4,0,0.957894737,0.971428571,0.953488372,0.949640288,0.962962963,0.919354839,0.973913043,0.975409836,0.976190476,0.939393939,0.95505618,0.93220339,0.965116279,0.975903614,0.957746479,0.954545455,0.940298507,0.926829268,0.935483871,0.936,0.937984496,0.945736434,0.962264151,0.961904762,0.962264151,0.970588235,0.989795918,0.961538462,0.915492958,0.913043478,0.958333333,0.913043478,0.928571429,0.976190476,0.951219512,0.982142857,0.98245614,0.942446043,0.942857143,0.962121212,0.977272727,0.939393939,0.993197279,1,0.985507246,1,0.971428571,0.961538462,0.931034483,0.942307692,0.944444444,0.989247312,0.954545455,0.931506849,0.913580247,0.904761905,0.916666667
M23.91,0.990740741,0.990909091,0.990990991,NA,0.978494624,0.989690722,0.97979798,0.989473684,0.978723404,0.965909091,0.917910448,0.970588235,0.97029703,0.973913043,0.978723404,0.95,0.949275362,0.925925926,0.92,0.929577465,0.904109589,0.936619718,0.905405405,0.986842105,0.986754967,NA,0.96,0.959459459,0.95890411,0.97,0.959731544,0.981308411,0.980392157,0.976470588,0.980392157,0.988888889,NA,1,0.981981982,0.982300885,0.990566038,0.980769231,NA,0.991869919,0.955555556,0.960784314,0.954248366,0.95483871,0.985815603,1,0.974576271,0.964285714,1,0.976377953,0.966942149,0.961038961,0.966442953,0.953947368,0.956989247,0.958762887,1,0.96875,0.957894737,0,NA,0.528846154,0.39,0.402061856,0.540983607,0.542553191,0.56122449,0.54,0.912280702,0.934579439,0.933823529,0.974576271,0.982608696,0.980769231,0.966666667,0.980952381,1,NA,0.916666667,0.927536232,0.919117647,0.950413223,0.949579832,0.950413223,0.971153846,0.953271028,NA,0.980392157,0.98019802,NA,0.98019802,0.98019802,1,1,0.989361702,0.978723404,0.933774834,NA,0.944444444,0.929824561,0.931972789,0.986394558,1,1,NA,0.943548387,0.942857143,0.955752212,0.952,0.888888889,0.896226415,NA,0.92,0.892156863,0.876190476,0.907216495
M24.04,1,1,1,1,1,1,1,1,1,0.971428571,0.928571429,1,1,1,1,1,1,0.912280702,1,0.935483871,0.933333333,0.947368421,0.936507937,0.985714286,0.985915493,0.985074627,1,1,1,1,1,1,1,1,1,1,1,1,0.976190476,0.974358974,1,1,0.9,1,NA,0.982142857,0.982142857,0.982142857,1,1,1,1,1,1,1,1,1,0.982142857,0.970588235,0.970588235,0.971428571,0.970588235,0.971428571,NA,0,0.484848485,0.485714286,0.441176471,NA,0.25,0.142857143,0.111111111,0.911111111,0.906976744,0.914893617,1,1,1,1,1,1,0.911111111,0.928571429,0.947368421,0.928571429,0.980769231,0.981132075,0.980769231,1,1,1,0.948717949,0.947368421,0.945945946,0.974358974,0.947368421,1,1,1,1,0.942307692,0.93877551,0.961538462,NA,0.93877551,0.985074627,0.975,0.976744186,0.975609756,0.954545455,NA,0.953488372,0.957446809,NA,0.977272727,1,0.972972973,0.953488372,0.951219512,0.95
M24.90,0.993197279,0.986754967,0.986842105,1,0.984,0.992366412,0.984848485,1,0.984126984,0.958677686,0.914438503,0.963963964,0.97037037,0.974358974,0.97761194,0.958333333,0.957671958,0.927083333,0.924418605,0.931372549,0.907317073,0.923857868,0.909090909,0.986486486,0.986486486,0.985074627,0.981651376,0.981481481,0.981132075,0.972477064,0.981481481,0.986206897,0.985611511,0.983333333,0.982142857,0.990384615,1,1,0.980519481,0.980392157,0.993103448,0.971153846,0.942307692,0.99378882,0.978494624,0.966507177,0.966666667,0.966981132,0.989417989,1,0.98089172,0.980263158,1,0.988826816,0.981707317,0.976415094,0.975490196,0.966507177,0.952,0.961538462,0.941176471,0.952755906,0.953488372,0.528846154,0.484848485,0,0.407407407,0.3671875,0.571428571,0.664285714,0.633802817,0.634482759,0.925925926,0.934210526,0.904494382,0.980645161,0.986842105,0.985815603,0.974522293,0.985507246,1,0.957446809,0.913978495,0.921465969,0.915343915,0.940828402,0.94047619,0.940828402,0.977941176,0.969325153,1,0.971830986,0.971428571,0.973684211,0.971428571,0.971428571,1,1,0.992,0.984,0.935960591,0.93877551,0.948979592,0.965517241,0.933673469,0.985981308,0.992647059,0.992753623,0.975609756,0.920731707,0.9375,0.934210526,0.93452381,0.947368421,0.920529801,1,0.927007299,0.902097902,0.904761905,0.919117647
M25,0.993670886,0.987654321,0.987730061,1,0.977777778,0.985815603,0.978873239,0.992805755,0.977941176,0.962121212,0.908163265,0.957627119,0.965517241,0.963636364,0.971830986,0.955445545,0.954773869,0.909547739,0.917127072,0.929906542,0.896713615,0.917475728,0.898617512,0.987124464,0.987124464,0.985714286,0.964444444,0.964125561,0.96347032,0.974358974,0.964125561,0.993630573,0.993377483,0.992424242,0.991735537,1,1,1,0.994011976,0.993975904,1,0.99122807,0.884615385,1,0.958333333,0.968181818,0.963636364,0.963963964,0.99,1,0.98816568,0.975308642,1,0.989473684,0.982857143,0.972972973,0.976744186,0.96347032,0.948148148,0.957142857,0.945945946,0.956521739,0.949640288,0.39,0.485714286,0.407407407,0,0.151260504,0.333333333,0.575539568,0.614864865,0.568493151,0.924418605,0.938650307,0.898395722,0.988023952,0.987730061,0.993464052,0.982248521,0.986577181,1,0.93877551,0.907692308,0.915,0.909090909,0.950276243,0.95,0.950276243,0.958333333,0.953216374,1,0.987096774,0.986928105,0.975609756,0.993506494,0.986928105,1,1,1,0.99270073,0.913875598,0.87755102,0.925742574,0.950819672,0.910891089,0.986666667,0.98630137,0.979591837,0.977272727,0.931818182,0.947368421,0.951515152,0.938547486,0.877192982,0.93902439,1,0.917808219,0.909090909,0.890322581,0.917808219
M25.00,0.993421053,0.987179487,0.987261146,1,0.984615385,0.992647059,0.98540146,1,0.984732824,0.968503937,0.910994764,0.96460177,0.971428571,0.96875,0.97826087,0.948717949,0.947916667,0.912371134,0.908045977,0.922705314,0.899038462,0.925742574,0.900943396,0.986784141,0.986784141,0.985714286,0.96347032,0.963133641,0.962441315,0.972972973,0.963133641,0.986666667,0.986111111,0.984,0.982300885,0.990566038,1,1,0.981132075,0.981012658,0.993333333,0.971698113,0.905660377,1,0.97826087,0.972093023,0.96744186,0.967741935,0.989690722,1,0.993902439,0.974358974,1,0.994594595,0.988235294,0.976958525,0.980952381,0.96728972,0.961832061,0.962962963,0.973684211,0.970149254,0.962962963,0.402061856,0.441176471,0.3671875,0.151260504,0,0.410714286,0.588235294,0.598591549,0.570422535,0.928143713,0.943037975,0.907103825,0.98757764,0.993670886,0.993197279,0.981595092,0.993055556,1,0.94,0.910526316,0.923469388,0.911917098,0.948571429,0.948275862,0.948571429,0.964028777,0.957831325,1,0.965753425,0.965277778,0.95,0.972413793,0.965277778,1,1,0.992307692,0.984615385,0.911330049,0.9,0.934343434,0.945454545,0.908163265,0.98630137,0.992907801,0.985915493,0.977272727,0.935672515,0.96875,0.949685535,0.942528736,0.884615385,0.923076923,1,0.921985816,0.912751678,0.900662252,0.921985816
