,R5.97,R7,R7.92,R8.00,R10.98,R10.91,R10.87,R11,R11.95,R13.95B,R19.88,R17,R17.88,R18,R18.99,R31,R31.96,R22.99,R22.92,R22.89,R23,R23.93,R24,R25.96,R26,R26.00,R27.99,R27.97,R28.99,R28.9000,R29,M17,M17.95,M17.90,M17.86,M18,M18.99a,M18.95,M19.99,M19.95,M20.95,R33,R38.01,M1.8800,M2,M2.96,M4,M5,M6,M6.99,M8.98,M8.91,M8.9102,M8.88,M8.8800,M9,M9.96,M10,M11.91,M12,M13.02,M14,M14.93,M23.91,M24.04,M24.90,M25,M25.00,M26,M27.91,M28.97,M28.94,M30,M30.97,M31,M33,M33.95,M34.92,M35,M35.91,M41,M45.97,M45.93,M46,M47,M48,M48.97,M48.93,M52.92,M53.95B,M54.00,M56,M56.91,M56.9101,M56.87,M57.95,M58.91,M61,M62.95,M62.91,M63,M63.01,M63.94,M64.99,M64.95,M65.93,M67.90,M68,M68.00,M69,M69.93,M71.00,M72,M73.90,M77,M78,S91.97,S91.93,S92,S92.94
M26,1,0.984615385,0.984848485,NA,0.967213115,0.952380952,0.954545455,0.967741935,0.950819672,0.946428571,0.907894737,0.983870968,0.983870968,0.971830986,0.982142857,0.931818182,0.931034483,0.907894737,0.896103896,0.925,0.869047619,0.9,0.86746988,0.966292135,0.965909091,NA,0.95505618,0.952941176,0.954545455,0.983606557,0.955555556,0.96,0.955882353,0.943396226,0.970588235,0.965517241,NA,1,0.961038961,0.962025316,0.971830986,0.941176471,NA,1,0.956989247,0.978021978,0.968085106,0.968421053,0.988764045,NA,0.972222222,0.957746479,NA,0.974683544,0.96,0.97752809,0.988372093,0.968421053,0.916666667,0.920634921,NA,0.935483871,0.919354839,0.540983607,NA,0.571428571,0.333333333,0.410714286,0,0.614035088,0.627118644,0.573770492,0.929577465,0.96969697,0.896103896,0.96969697,0.984126984,0.96969697,0.955882353,0.96969697,1,NA,0.907894737,0.925,0.91025641,0.911764706,0.910447761,0.911764706,0.9375,0.940298507,NA,0.955223881,0.954545455,NA,0.954545455,0.953846154,1,1,0.983333333,0.966666667,0.914634146,NA,0.935064935,0.966101695,0.911392405,0.963855422,1,0.981818182,NA,0.890410959,0.941176471,0.954545455,0.946666667,0.910714286,0.93442623,NA,0.918032787,0.918032787,0.923076923,0.929824561
M27.91,0.992307692,0.992592593,0.992647059,1,0.981481481,0.99122807,0.982608696,0.990990991,0.981651376,0.961904762,0.95505618,0.968085106,0.974789916,0.971223022,0.975,0.971910112,0.971428571,0.938202247,0.969325153,0.936507937,0.932989691,0.945945946,0.934343434,0.990291262,0.990291262,1,0.980099502,0.974747475,0.974226804,0.967032967,0.974747475,0.992248062,0.991869919,0.990384615,0.989690722,1,1,1,0.992805755,0.992753623,1,0.988888889,0.92,0.986013986,0.975609756,0.974226804,0.974358974,0.974619289,0.988372093,1,0.978571429,0.985294118,1,0.987654321,0.979591837,0.984771574,0.984126984,0.974226804,0.972972973,0.973913043,0.970588235,0.973451327,0.973913043,0.542553191,0.25,0.664285714,0.575539568,0.588235294,0.614035088,0,0.314285714,0.259615385,0.953333333,0.956834532,0.934131737,1,1,1,0.993006993,0.991803279,1,0.956521739,0.95480226,0.955801105,0.955555556,0.968152866,0.967948718,0.968152866,0.991735537,0.972789116,1,1,1,1,1,1,1,1,1,0.990825688,0.947089947,0.959183673,0.955801105,0.980392157,0.945054945,0.98989899,1,1,1,0.933333333,0.961538462,0.949275362,0.95483871,0.918367347,0.957142857,1,0.943089431,0.93129771,0.917293233,0.925619835
M28.97,0.99270073,0.992957746,0.993006993,1,0.982608696,0.991735537,0.983606557,0.991525424,0.982758621,0.964285714,0.951086957,0.970588235,0.976190476,0.979591837,0.984496124,0.972972973,0.972527473,0.946236559,0.964497041,0.93877551,0.940594059,0.958762887,0.941747573,0.990610329,0.990610329,0.985507246,0.985645933,0.985507246,0.985221675,0.98,0.985507246,0.992647059,0.992307692,0.990990991,0.990291262,0.989361702,1,1,0.986206897,0.986111111,0.992592593,0.989361702,0.882352941,0.986666667,0.988235294,0.985221675,0.985294118,0.985436893,0.994444444,1,0.986486486,0.993055556,1,0.98816568,0.987096774,0.985294118,0.984693878,0.985221675,0.974576271,0.983739837,0.944444444,0.975,0.975409836,0.56122449,0.142857143,0.633802817,0.614864865,0.598591549,0.627118644,0.314285714,0,0.20952381,0.948717949,0.951724138,0.930635838,0.993197279,1,0.992424242,0.993333333,1,1,0.934782609,0.950819672,0.957446809,0.951612903,0.963190184,0.962962963,0.963190184,0.9921875,0.980645161,1,0.977443609,0.977099237,0.975,0.977099237,0.977099237,1,1,0.991304348,0.982608696,0.932642487,0.92,0.934782609,0.959183673,0.930107527,0.990243902,0.992063492,0.9921875,0.976744186,0.949685535,1,0.95890411,0.963190184,0.9375,0.9375,1,0.937984496,0.927007299,0.913669065,0.912698413
M28.94,0.992907801,0.993150685,0.993197279,1,0.983193277,0.992,0.984126984,0.991803279,0.983333333,0.965517241,0.946524064,0.971962617,0.976923077,0.98013245,0.984848485,0.968085106,0.967567568,0.924731183,0.959302326,0.923857868,0.915422886,0.93814433,0.917073171,0.981395349,0.981395349,0.985294118,0.981132075,0.980952381,0.980582524,0.980952381,0.980952381,0.992857143,0.992537313,0.991304348,0.990654206,0.98989899,1,1,0.986577181,0.986486486,0.992805755,0.98989899,0.88,0.987012987,0.989010989,0.980582524,0.980676329,0.980861244,0.994565217,1,0.986842105,0.986394558,1,0.988439306,0.987421384,0.985576923,0.985,0.980582524,0.975409836,0.984251969,0.942857143,0.975806452,0.976190476,0.54,0.111111111,0.634482759,0.568493151,0.570422535,0.573770492,0.259615385,0.20952381,0,0.936708861,0.945945946,0.92,0.993377483,1,0.992647059,0.993506494,1,1,0.934782609,0.946236559,0.958333333,0.947089947,0.957831325,0.957575758,0.957831325,0.984732824,0.974683544,1,0.970588235,0.970149254,0.947368421,0.977777778,0.970149254,1,1,0.991596639,0.983193277,0.928571429,0.918367347,0.941798942,0.944444444,0.925925926,0.980676329,0.992307692,0.992424242,0.976190476,0.957317073,1,0.96,0.970238095,0.924528302,0.946308725,1,0.947761194,0.936619718,0.923611111,0.915384615
M30,0.991452991,0.991803279,0.991869919,0.97826087,1,1,1,1,1,0.909090909,0.69924812,0.989247312,0.990740741,0.96,0.960784314,0.9375,0.943037975,0.926829268,0.923611111,0.925714286,0.928176796,0.916666667,0.918032787,0.962765957,0.962765957,0.953125,0.956521739,0.956043956,0.95505618,0.965909091,0.956043956,0.982608696,0.981651376,0.989010989,0.977011494,1,1,1,0.975806452,0.975609756,0.991304348,0.973684211,0.85106383,0.984615385,0.948051948,0.972375691,0.972527473,0.967213115,0.981012658,1,0.976377953,0.975409836,0.972222222,0.965753425,0.962121212,0.978142077,0.982954545,0.966666667,0.936842105,0.95,0.939393939,0.948979592,0.939393939,0.912280702,0.911111111,0.925925926,0.924418605,0.928143713,0.929577465,0.953333333,0.948717949,0.936708861,0,0.166666667,0.636363636,0.976,0.991869919,0.972727273,0.968503937,0.962264151,0.987804878,0.777777778,0.696969697,0.724637681,0.741007194,0.935714286,0.927536232,0.935714286,0.951923077,0.946564885,0.973684211,0.98245614,0.982142857,0.972972973,0.991150442,0.982142857,0.987654321,0.987654321,1,1,0.912280702,0.813953488,0.926829268,0.959183673,0.921686747,0.972527473,0.971153846,0.971698113,0.948717949,0.869230769,0.9,0.9,0.888059701,0.666666667,0.927419355,0.896551724,0.916666667,0.885964912,0.899159664,0.896226415
M30.97,0.99047619,0.990909091,0.990990991,0.977272727,1,1,1,1,1,0.909090909,0.732283465,0.987804878,0.989583333,0.964912281,0.956989247,0.960526316,0.966666667,0.948717949,0.95620438,0.939759036,0.947976879,0.944099379,0.943181818,0.977653631,0.977653631,0.951612903,0.959537572,0.959064327,0.964285714,0.974358974,0.959064327,0.990384615,0.989795918,0.987341772,0.987012987,1,1,1,0.982300885,0.982142857,1,0.985074627,0.844444444,0.991596639,0.971830986,0.98245614,0.988439306,0.982758621,0.986394558,1,0.982758621,0.981981982,0.970588235,0.98540146,0.975409836,0.988439306,0.987878788,0.98245614,0.952941176,0.966666667,0.935483871,0.954022989,0.95505618,0.934579439,0.906976744,0.934210526,0.938650307,0.943037975,0.96969697,0.956834532,0.951724138,0.945945946,0.166666667,0,0.669565217,0.991304348,0.990990991,0.99,0.982905983,0.979166667,0.985714286,0.771428571,0.74015748,0.757575758,0.77443609,0.946153846,0.9375,0.946153846,0.978947368,0.967213115,0.972222222,0.980392157,0.98,0.971428571,0.99009901,0.98,0.985507246,0.985507246,1,1,0.9125,0.804878049,0.921052632,0.976744186,0.922580645,0.98255814,0.967391304,0.968085106,0.945945946,0.884297521,0.961538462,0.909090909,0.89516129,0.823529412,0.92920354,0.892857143,0.928571429,0.894230769,0.898148148,0.894736842
M31,0.98540146,0.978723404,0.978873239,1,0.991452991,0.991803279,0.991935484,1,0.991525424,0.926605505,0.723684211,0.972222222,0.976377953,0.929078014,0.950819672,0.932960894,0.937853107,0.893258427,0.906832298,0.9,0.891752577,0.884615385,0.882653061,0.946341463,0.946341463,0.938461538,0.96097561,0.960591133,0.959798995,0.930693069,0.955445545,0.99270073,0.992366412,0.991071429,0.990566038,1,1,1,0.98630137,0.986206897,1,0.979381443,0.808510638,0.973154362,0.953488372,0.965,0.965174129,0.96039604,0.971751412,1,0.965753425,0.971830986,0.973684211,0.957575758,0.953642384,0.975369458,0.979591837,0.959798995,0.929824561,0.941176471,0.911764706,0.94017094,0.93220339,0.933823529,0.914893617,0.904494382,0.898395722,0.907103825,0.896103896,0.934131737,0.930635838,0.92,0.636363636,0.669565217,0,0.972413793,0.978873239,0.984848485,0.965986395,0.968503937,0.980392157,0.794871795,0.738562092,0.74522293,0.751592357,0.91025641,0.909677419,0.91025641,0.925619835,0.925675676,0.974358974,0.969924812,0.969465649,0.974358974,0.977272727,0.969465649,0.990196078,0.990196078,1,1,0.904761905,0.813953488,0.923497268,0.962962963,0.913043478,0.949494949,0.959349593,0.968253968,0.948717949,0.88,0.914285714,0.875,0.851351351,0.826086957,0.923076923,0.909090909,0.913385827,0.878787879,0.874074074,0.896
M33,1,1,1,1,0.9875,0.988235294,0.988505747,0.987804878,1,0.974358974,0.980519481,0.987804878,0.989130435,0.982142857,1,0.986842105,0.986577181,0.974358974,0.954887218,0.97005988,0.965116279,0.975308642,0.965909091,0.971264368,0.971264368,0.961538462,0.970760234,0.970414201,0.957055215,0.974358974,0.970414201,0.958762887,0.956043956,0.972972973,0.933333333,0.957142857,1,0.986486486,0.962616822,0.962264151,0.947368421,0.928571429,0.975,0.973451327,0.971830986,0.963414634,0.963636364,0.964071856,0.978873239,1,0.972972973,0.990740741,1,0.969465649,0.965811966,0.963636364,0.96835443,0.96969697,0.963414634,0.965116279,0.952380952,0.964285714,0.965116279,0.974576271,1,0.980645161,0.988023952,0.98757764,0.96969697,1,0.993197279,0.993377483,0.976,0.991304348,0.972413793,0,0.105263158,0.409836066,0.174603175,0.459016393,0.984848485,1,0.987012987,0.987341772,0.980769231,0.976923077,0.976744186,0.976923077,0.978021978,0.983333333,1,0.979591837,0.979166667,1,0.979166667,0.989690722,0.96875,0.952380952,0.974358974,0.974683544,0.988095238,1,0.987341772,0.977272727,0.98757764,0.976047904,0.988888889,0.989130435,0.962962963,0.992307692,0.962962963,0.991304348,0.984732824,0.944444444,0.955357143,0.92,0.99,0.990909091,0.99122807,0.99
M33.95,1,1,1,1,0.986842105,0.987654321,0.987951807,0.987179487,1,1,0.993421053,0.987179487,0.988636364,0.990825688,1,1,1,0.980392157,0.977272727,0.987951807,0.98245614,0.9875,0.982857143,0.976608187,0.976608187,0.961538462,0.976190476,0.975903614,0.968944099,0.986666667,0.975903614,0.968085106,0.97752809,0.971428571,0.95890411,0.954545455,1,0.971014493,0.980952381,0.980769231,0.967741935,0.955882353,0.975,0.981818182,0.985294118,0.968944099,0.969135802,0.969512195,0.97826087,1,0.971962617,0.990384615,1,0.9765625,0.973684211,0.962732919,0.967532468,0.975308642,0.974683544,0.975903614,0.952380952,0.975308642,0.975903614,0.982608696,1,0.986842105,0.987730061,0.993670886,0.984126984,1,1,1,0.991869919,0.990990991,0.978873239,0.105263158,0,0.5,0.238095238,0.5,0.983870968,1,1,0.993548387,0.993506494,0.9921875,0.992125984,0.9921875,1,1,1,0.989473684,0.989247312,1,0.989247312,1,0.966666667,0.949152542,0.986666667,0.986842105,0.993939394,1,0.993548387,1,0.993670886,0.975460123,0.988372093,0.988636364,0.962962963,0.992063492,1,1,0.9921875,1,0.963302752,0.92,1,1,1,1
M34.92,1,1,1,1,0.984615385,0.985714286,0.986111111,0.985074627,1,0.968253968,0.985714286,0.985074627,0.987012987,0.989795918,1,0.98540146,0.985074627,0.978873239,0.957983193,0.973856209,0.96835443,0.97972973,0.969135802,0.987654321,0.987654321,0.981132075,0.981012658,0.987261146,0.973509934,0.984375,0.980769231,0.951219512,0.947368421,0.966101695,0.916666667,0.945454545,1,0.983050847,0.956521739,0.956043956,0.9375,0.909090909,0.975,0.99,0.971830986,0.980263158,0.980392157,0.980645161,0.984375,1,0.989795918,1,1,0.983050847,0.980769231,0.980392157,0.98630137,0.980263158,0.955223881,0.957746479,0.952380952,0.956521739,0.957746479,0.980769231,1,0.985815603,0.993464052,0.993197279,0.96969697,1,0.992424242,0.992647059,0.972727273,0.99,0.984848485,0.409836066,0.5,0,0.360655738,0.282608696,1,1,0.985611511,0.993055556,0.985915493,0.982758621,0.982608696,0.982758621,0.973684211,0.980952381,1,0.975903614,0.975308642,1,0.975308642,0.987804878,0.959183673,0.9375,0.968253968,0.96875,0.986928105,1,0.986013986,0.977272727,0.98630137,0.993548387,0.986666667,0.987012987,0.962962963,0.991304348,0.962962963,0.99,0.991452991,0.945945946,0.959183673,0.92,0.988235294,0.989473684,0.98989899,0.988235294
M35,1,1,1,1,0.987951807,0.988636364,0.988888889,0.988235294,1,0.9625,0.974358974,0.988235294,0.989473684,0.982608696,1,0.987096774,0.986842105,0.974842767,0.955882353,0.970588235,0.965714286,0.975757576,0.966480447,0.97752809,0.97752809,0.981132075,0.965317919,0.970930233,0.957831325,0.9625,0.964912281,0.93877551,0.934782609,0.946666667,0.907894737,0.944444444,1,0.973684211,0.95412844,0.953703704,0.948979592,0.901408451,0.975,0.974137931,0.95890411,0.957831325,0.958083832,0.958579882,0.972222222,1,0.96460177,0.981818182,1,0.970149254,0.957983193,0.964285714,0.968944099,0.964071856,0.952380952,0.954545455,0.952380952,0.953488372,0.954545455,0.966666667,1,0.974522293,0.982248521,0.981595092,0.955882353,0.993006993,0.993333333,0.993506494,0.968503937,0.982905983,0.965986395,0.174603175,0.238095238,0.360655738,0,0.355932203,0.985507246,1,0.980769231,0.98125,0.974683544,0.977443609,0.977272727,0.977443609,0.978723404,0.983739837,1,0.98019802,0.97979798,1,0.97979798,0.99,0.970149254,0.954545455,0.975308642,0.975609756,0.988304094,1,0.98757764,0.977777778,0.987804878,0.98245614,0.989247312,0.989473684,0.962962963,0.977099237,0.925925926,0.991525424,0.985074627,0.918918919,0.956521739,0.92,0.990291262,0.991150442,0.991452991,0.990291262
M35.91,1,1,1,1,0.983870968,0.985074627,0.985507246,0.984375,1,0.949152542,0.98540146,0.985294118,0.986486486,0.978723404,1,0.992592593,0.992424242,0.978417266,0.965811966,0.98013245,0.974358974,0.979310345,0.975,0.981012658,0.981012658,0.979591837,0.974025974,0.980392157,0.965986395,0.952380952,0.973684211,0.949367089,0.930555556,0.945454545,0.918032787,0.946428571,1,0.963636364,0.95505618,0.954545455,0.962025316,0.910714286,0.972222222,0.989690722,0.957142857,0.972972973,0.973154362,0.973509934,0.975806452,1,0.978723404,0.988888889,1,0.982608696,0.97,0.98,0.986013986,0.972972973,0.936507937,0.940298507,0.941176471,0.938461538,0.940298507,0.980952381,1,0.985507246,0.986577181,0.993055556,0.96969697,0.991803279,1,1,0.962264151,0.979166667,0.968503937,0.459016393,0.5,0.282608696,0.355932203,0,0.979166667,1,0.985294118,0.985714286,0.985611511,0.99122807,0.991150442,0.99122807,0.97260274,0.980392157,1,0.987654321,0.987341772,1,0.987341772,1,0.956521739,0.933333333,0.983606557,0.983870968,0.986666667,1,0.985714286,0.976744186,0.986013986,0.986754967,0.986111111,0.986486486,0.956521739,0.972727273,0.92,0.989690722,0.982300885,0.914285714,0.96875,0.904761905,1,1,1,1
M41,1,1,1,1,0.971428571,0.948717949,0.951219512,0.972972973,0.942857143,0.939393939,0.990990991,1,1,0.970149254,0.979591837,1,1,1,0.989247312,0.992063492,1,0.991666667,0.992647059,0.992481203,0.992481203,1,0.992307692,0.9921875,0.991935484,0.972222222,0.9921875,0.962962963,0.936170213,0.931034483,0.973684211,0.965517241,0.857142857,0.928571429,0.918032787,0.916666667,0.962264151,0.970588235,0.971428571,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.918918919,0.926829268,0.866666667,0.923076923,0.926829268,1,1,1,1,1,1,1,1,1,0.987804878,0.985714286,0.980392157,0.984848485,0.983870968,1,0.985507246,0.979166667,0,0.96875,0.990909091,0.99122807,1,0.988505747,0.988372093,0.988505747,1,1,0.954545455,0.942307692,0.94,0.888888889,0.94,0.94,0.833333333,0.833333333,0.939393939,0.941176471,0.991935484,0.96875,0.99122807,1,0.982758621,0.992,1,0.978723404,1,1,1,1,0.976744186,1,0.956521739,0.85,0.981818182,0.96875,0.970588235,0.962962963
M45.97,0.96875,0.909090909,0.909090909,1,1,1,1,1,1,0.966666667,0.172413793,1,1,0.973684211,0.972222222,0.97826087,0.977777778,0.895833333,0.934782609,0.884615385,0.901960784,0.897959184,0.886792453,0.936507937,0.9375,0.951612903,0.966666667,0.966666667,0.966101695,1,0.966101695,1,1,1,NA,1,1,1,0.973684211,0.971428571,1,NA,0.875,1,NA,0.960784314,0.960784314,0.960784314,0.953488372,0.951219512,1,1,1,0.977272727,0.971428571,0.960784314,0.959183673,0.960784314,0.967741935,0.935483871,0.935483871,0.935483871,0.935483871,NA,0.911111111,0.957446809,0.93877551,0.94,NA,0.956521739,0.934782609,0.934782609,0.777777778,0.771428571,0.794871795,1,1,1,1,1,0.96875,0,0.166666667,0.074074074,0.074074074,0.906976744,0.906976744,0.906976744,0.931034483,0.916666667,0.95,0.945945946,0.944444444,0.972222222,0.972972973,0.944444444,1,1,1,1,0.866666667,0.886363636,0.913043478,NA,0.909090909,0.935483871,1,1,1,0.951219512,NA,0.921052632,0.902439024,NA,0.902439024,0.897435897,0.944444444,0.864864865,0.861111111,0.848484848
M45.93,0.986111111,0.972789116,0.972972973,0.98245614,1,1,1,1,1,0.92173913,0.121495327,0.962264151,0.969924812,0.946666667,0.953125,0.912087912,0.922651934,0.920634921,0.923529412,0.92,0.906403941,0.917525773,0.902912621,0.953051643,0.953051643,0.945945946,0.96713615,0.966824645,0.971153846,0.971153846,0.966824645,0.971631206,0.977941176,0.983050847,0.970873786,0.979591837,1,1,0.973509934,0.973333333,0.985915493,0.968085106,0.859649123,0.987341772,0.976744186,0.966183575,0.966346154,0.966666667,0.967213115,0.962264151,0.980645161,0.986754967,0.978723404,0.971264368,0.97515528,0.981042654,0.980295567,0.966183575,0.942622951,0.944444444,0.904761905,0.93495935,0.936,0.916666667,0.928571429,0.913978495,0.907692308,0.910526316,0.907894737,0.95480226,0.950819672,0.946236559,0.696969697,0.74015748,0.738562092,0.987012987,1,0.985611511,0.980769231,0.985294118,0.990909091,0.166666667,0,0.194690265,0.203539823,0.920731707,0.920245399,0.927272727,0.9296875,0.922077922,0.955555556,0.971428571,0.971014493,0.979166667,0.978417266,0.971014493,1,1,0.991869919,0.991935484,0.902564103,0.867924528,0.931937173,0.98,0.916230366,0.961352657,0.984962406,0.985185185,1,0.892405063,0.9,0.888888889,0.858064516,0.567567568,0.940789474,0.926829268,0.884615385,0.851851852,0.847826087,0.858267717
M46,0.986486486,0.973509934,0.973684211,0.98245614,1,1,1,1,1,0.924369748,0.169642857,0.964285714,0.97080292,0.948051948,0.954545455,0.919786096,0.930107527,0.927835052,0.931428571,0.932038835,0.918660287,0.919191919,0.91509434,0.949074074,0.949074074,0.945945946,0.967741935,0.96744186,0.971698113,0.972727273,0.96744186,0.979452055,0.985815603,0.991869919,0.981981982,0.99047619,1,1,0.980769231,0.980645161,0.993197279,0.98,0.879310345,0.987654321,0.965909091,0.966824645,0.971830986,0.96728972,0.967914439,0.962264151,0.981132075,0.987096774,0.978723404,0.971910112,0.975757576,0.981395349,0.980676329,0.966824645,0.944444444,0.946153846,0.904761905,0.937007874,0.937984496,0.927536232,0.947368421,0.921465969,0.915,0.923469388,0.925,0.955801105,0.957446809,0.958333333,0.724637681,0.757575758,0.74522293,0.987341772,0.993548387,0.993055556,0.98125,0.985714286,0.99122807,0.074074074,0.194690265,0,0.100917431,0.928994083,0.928571429,0.935294118,0.931818182,0.924050633,0.954545455,0.98630137,0.986111111,1,0.986111111,0.986111111,1,1,1,1,0.91,0.886792453,0.933333333,0.981818182,0.923469388,0.957142857,0.98540146,0.985611511,1,0.895061728,0.914285714,0.899328859,0.86163522,0.609756098,0.942307692,0.891891892,0.904411765,0.872340426,0.868055556,0.879699248
M47,0.986394558,0.98013245,0.980263158,0.98245614,1,1,1,1,1,0.932773109,0.178571429,0.963636364,0.970588235,0.954545455,0.962121212,0.919354839,0.92972973,0.92746114,0.937142857,0.931707317,0.913043478,0.929648241,0.914691943,0.948837209,0.948837209,0.945945946,0.97235023,0.972093023,0.976415094,0.972222222,0.972093023,0.972222222,0.978417266,0.983471074,0.972477064,0.980392157,1,1,0.980645161,0.980519481,0.986206897,0.969387755,0.879310345,0.98757764,0.953488372,0.961722488,0.966824645,0.962264151,0.967741935,0.962264151,0.981012658,0.987012987,0.978723404,0.971751412,0.975609756,0.981308411,0.980582524,0.961722488,0.952380952,0.953846154,0.930232558,0.94488189,0.945736434,0.919117647,0.928571429,0.915343915,0.909090909,0.911917098,0.91025641,0.955555556,0.951612903,0.947089947,0.741007194,0.77443609,0.751592357,0.980769231,0.993506494,0.985915493,0.974683544,0.985611511,1,0.074074074,0.203539823,0.100917431,0,0.922155689,0.921686747,0.928571429,0.939393939,0.930379747,0.977777778,0.979166667,0.978873239,0.979166667,0.986013986,0.978873239,1,1,0.992063492,0.992125984,0.915,0.907407407,0.943877551,0.981132075,0.923076923,0.956937799,0.985294118,0.985507246,1,0.894409938,0.909090909,0.898648649,0.875,0.658536585,0.948717949,0.948717949,0.895522388,0.871428571,0.867132867,0.878787879
M48,0.983471074,0.976,0.976190476,0.959183673,0.98,0.971153846,0.971698113,0.980392157,0.98019802,0.947916667,0.921212121,0.989361702,0.982142857,0.961538462,0.963963964,0.939393939,0.944785276,0.953757225,0.961038961,0.921787709,0.935828877,0.943502825,0.931578947,0.96373057,0.96373057,0.940298507,0.973958333,0.973684211,0.97311828,0.966292135,0.973684211,0.991735537,0.991304348,0.989583333,0.988888889,0.988095238,1,1,0.984615385,0.984496124,0.991666667,0.974683544,0.84,0.969924812,0.974025974,0.97311828,0.973262032,0.973544974,0.981595092,0.978723404,0.969465649,0.984375,0.975,0.966887417,0.96350365,0.978723404,0.977777778,0.97311828,0.960784314,0.962264151,0.945945946,0.961538462,0.962264151,0.950413223,0.980769231,0.940828402,0.950276243,0.948571429,0.911764706,0.968152866,0.963190184,0.957831325,0.935714286,0.946153846,0.91025641,0.976923077,0.9921875,0.982758621,0.977443609,0.99122807,0.988505747,0.906976744,0.920731707,0.928994083,0.922155689,0,0.038461538,0.025641026,0.972972973,0.95620438,0.921052632,0.956896552,0.956140351,0.975609756,0.965217391,0.956140351,1,1,0.99,0.99009901,0.926966292,0.895833333,0.941520468,0.978723404,0.923976608,0.973262032,1,1,1,0.921985816,1,0.937984496,0.937931034,0.977272727,0.938461538,0.909090909,0.966101695,0.926829268,0.9375,0.920353982
M48.97,0.983333333,0.975806452,0.976,0.96,0.97979798,0.980769231,0.981132075,0.990196078,0.98,0.936170213,0.920731707,0.989247312,0.981981982,0.96124031,0.963636364,0.93902439,0.944444444,0.953488372,0.960784314,0.921348315,0.935483871,0.943181818,0.931216931,0.963541667,0.963541667,0.941176471,0.97382199,0.973544974,0.972972973,0.965909091,0.973544974,0.991666667,0.99122807,0.989473684,0.988764045,0.987951807,1,1,0.984496124,0.984375,0.991596639,0.974025974,0.843137255,0.96969697,0.973684211,0.972972973,0.97311828,0.973404255,0.981481481,0.979166667,0.969230769,0.984251969,0.975609756,0.966666667,0.963235294,0.978609626,0.977653631,0.972972973,0.96039604,0.961904762,0.947368421,0.961165049,0.961904762,0.949579832,0.981132075,0.94047619,0.95,0.948275862,0.910447761,0.967948718,0.962962963,0.957575758,0.927536232,0.9375,0.909677419,0.976744186,0.992125984,0.982608696,0.977272727,0.991150442,0.988372093,0.906976744,0.920245399,0.928571429,0.921686747,0.038461538,0,0.038461538,0.972727273,0.955882353,0.923076923,0.956521739,0.955752212,0.976190476,0.964912281,0.955752212,1,1,0.98989899,0.99,0.926553672,0.897959184,0.941176471,0.97826087,0.923529412,0.97311828,1,1,1,0.913669065,1,0.929133858,0.93006993,0.976744186,0.937984496,0.909090909,0.956896552,0.917355372,0.928571429,0.90990991
M48.93,0.983471074,0.976,0.976190476,0.98,0.98,0.971153846,0.971698113,0.980392157,0.98019802,0.936842105,0.927710843,0.989361702,0.982142857,0.961538462,0.963963964,0.945783133,0.951219512,0.953757225,0.961038961,0.921787709,0.935828877,0.943502825,0.931578947,0.96373057,0.96373057,0.940298507,0.973958333,0.973684211,0.97311828,0.977777778,0.973684211,0.991735537,0.991304348,0.989583333,0.988888889,0.988095238,1,1,0.984615385,0.984496124,0.991666667,0.974683544,0.84,0.969924812,0.974025974,0.97311828,0.973262032,0.973544974,0.981595092,0.978723404,0.969465649,0.984375,0.975,0.966887417,0.96350365,0.978723404,0.977777778,0.97311828,0.960784314,0.962264151,0.945945946,0.961538462,0.962264151,0.950413223,0.980769231,0.940828402,0.950276243,0.948571429,0.911764706,0.968152866,0.963190184,0.957831325,0.935714286,0.946153846,0.91025641,0.976923077,0.9921875,0.982758621,0.977443609,0.99122807,0.988505747,0.906976744,0.927272727,0.935294118,0.928571429,0.025641026,0.038461538,0,0.972972973,0.963768116,0.923076923,0.956896552,0.956140351,0.975609756,0.965217391,0.956140351,1,1,0.99,0.99009901,0.926966292,0.895833333,0.941520468,0.978723404,0.923976608,0.973262032,1,1,1,0.914285714,1,0.9296875,0.930555556,0.977272727,0.938461538,0.909090909,0.957264957,0.918032787,0.929133858,0.910714286
M52.92,0.935897436,0.913580247,0.914634146,0.965517241,1,1,1,1,1,0.966101695,0.938461538,0.868852459,0.878787879,0.75,0.810344828,0.865546218,0.881355932,0.931818182,0.928571429,0.952054795,0.932885906,0.942446043,0.934640523,0.967741935,0.967741935,1,0.931972789,0.931034483,0.936619718,0.754716981,0.923611111,0.987654321,0.972972973,1,0.969230769,1,1,1,0.977777778,0.988888889,0.974683544,0.966101695,0.972222222,0.956989247,0.957142857,0.965753425,0.95890411,0.959459459,0.958677686,0.961538462,0.967391304,0.977272727,0.947368421,0.964285714,0.959183673,0.965986395,0.971428571,0.95862069,0.96875,0.970588235,1,0.985074627,0.970588235,0.971153846,1,0.977941176,0.958333333,0.964028777,0.9375,0.991735537,0.9921875,0.984732824,0.951923077,0.978947368,0.925619835,0.978021978,1,0.973684211,0.978723404,0.97260274,1,0.931034483,0.9296875,0.931818182,0.939393939,0.972972973,0.972727273,0.972972973,0,0.549295775,0.842105263,0.9875,0.987179487,0.95,0.987179487,0.987179487,0.97826087,0.97826087,1,1,0.965753425,0.935483871,0.97826087,0.979591837,0.971428571,0.972972973,0.985915493,0.972222222,1,0.972477064,0.933333333,0.978947368,0.95412844,0.928571429,0.957446809,0.894736842,0.975,0.989010989,0.967741935,0.975
