num_nodes,num_edges,change_eff_targeted,change_eff_cent,median_aucs_targ,median_aucs_cent,sd_aucs_targ,sd_aucs_cent,cor_betweenness,cor_eigen,cor_sew,cor_degree,avg_trans,mod,dens
97,3564,-0.00918882249806674,-0.006627245949688831,0.9991194115034154,1.0001483155309696,0.0031664531959100482,0.003120115344796716,-0.4859354021033992,-0.32209694007791173,-0.613940354947106,-0.7730080988683735,0.8704451375905405,0.023251516915003635,0.7654639175257731
130,5586,-0.006717063802249457,-0.0041842200479520475,0.9999779388740127,0.9995187591546946,0.003259278708529004,0.003212029936804722,-0.342846147681651,-0.19784663578330147,-0.4719208407012195,-0.7309734527399756,0.8267716262275463,0.041979437109986334,0.6661896243291592
120,5609,-0.004943342483685054,-0.002805554695526291,0.9990955636415076,1.0001725534065846,0.0030247237999547383,0.0026498158007971276,-0.3520404658489152,-0.6585183040768093,-0.724333384820841,-0.7562189900856519,0.8599593647358483,0.034202840664252214,0.7855742296918767
97,906,-0.07996742365558485,-0.06607481313376157,0.8882716768247658,0.9095986491663635,0.020646195199510692,0.013135276504489918,-0.6078881326006321,0.08094897397614624,0.07221425247229586,-0.3767527629098782,0.7057013519699025,0.38379712878090144,0.19458762886597938
130,1399,-0.060534098514107015,-0.05945958982857347,0.8996357896541562,0.9013110379041245,0.01569848289876517,0.015589617308716547,-0.8202372891834809,-0.006868336309099963,0.0038678205046542486,0.012752440966596437,0.6622826889299713,0.41684630244926296,0.16684555754323196
120,1352,-0.030761622350695905,-0.027677506227551885,0.9990623942943835,0.9971828684615103,0.003992106531483302,0.003984862945295295,-0.8782889773506634,-0.16006874065717264,-0.2825060876024909,-0.5864347992221824,0.619350525631064,0.4046911106929029,0.1893557422969188
97,902,-0.027804066864121346,-0.026726494158185232,0.9851509379528758,0.9859352324872337,0.004913293513868594,0.005515052387761465,-0.4097981714849298,-0.11586978099309883,-0.32866297437898917,-0.6270738606059879,0.6970212502063511,0.38190200638148286,0.19372852233676977
130,1399,-0.026933964566387858,-0.022759208730968483,0.9973911113422806,0.9983178438710925,0.005030171280204884,0.005279878587249393,-0.8980325387398883,0.06395137873665585,-0.16475287618818674,-0.45581173803300434,0.6435017535100865,0.43247653153661786,0.16684555754323196
120,1407,-0.032308133416221574,-0.031892523473762646,0.9980639202240837,0.9979866801122077,0.004839073149614643,0.003559148988863707,-0.8643190343759796,-0.37800592638968633,-0.37758232313219375,-0.5842182367731894,0.6557446928325156,0.38691934782378085,0.19705882352941176
91,1168,-0.04623077728227659,-0.028007315906433017,0.9377524974247209,0.9750801666225566,0.002511816587490388,0.0026401133614648237,-0.54691289707127,-0.2856426684909601,-0.39442455314592817,-0.4470687179277749,0.6426542736664337,0.24690849889754168,0.2852258852258852
91,1254,-0.030286295040537814,-0.015313641493905294,0.9624772604788381,0.9883568873477511,0.003244185650192463,0.0029882898698281027,-0.48310125641591417,-0.34943437476173184,-0.4924492700177714,-0.6011576911008197,0.597553765232886,0.229500049602039,0.30622710622710625
89,1349,-0.03557154712240446,-0.030319021581775685,0.9617705069279441,0.9742592351539885,0.0027171068763801117,0.002659242621024016,-0.4446475160882353,-0.3376604730628635,-0.4982711700389587,-0.607230768477726,0.6498779518066017,0.18067167783730195,0.34448416751787536
89,1552,-0.0295692234418114,-0.025712881396586895,0.9738984715406438,0.9737265514214006,0.0024318675230409715,0.0021105496739702817,-0.5821818015662827,-0.63376784582259,-0.6775675766306536,-0.7347524376936586,0.7241082676292083,0.09805086054575407,0.39632277834525026
87,1469,-0.026962285563685684,-0.023782377390486276,0.9740381578545816,0.97541501217167,0.00246637611782492,0.0025907369327369794,-0.615522707476744,-0.4663103684849054,-0.5232177023164374,-0.5263348607091292,0.6917631838746741,0.15135051096845584,0.392675755145683
94,936,-0.03366832997476876,-0.030775100673443023,0.986704894158141,0.9876251474431985,0.002868755086228675,0.002468918371282625,-0.665898485614274,-0.669084831096594,-0.7655585124997921,-0.8334852421377223,0.6207273303758297,0.2323632341661188,0.21413864104323954
91,300,-0.08504310233665502,-0.10539935683224791,0.7724220738086927,0.7448230898158477,0.0032980017513687646,0.003138578604314545,-0.6596536014813155,0.028944058127968575,-0.015291841840118475,-0.20543428383187967,0.5339292021110202,0.5931833333333332,0.07326007326007325
91,310,-0.04941029413454559,-0.05225965697276255,0.8798656865204002,0.9166739184955734,0.0029128100138296202,0.004045419804742312,-0.5307271791908694,-0.2422742530889549,-0.2996977906775512,-0.38871245551092265,0.4777988188282308,0.5174869927159208,0.0757020757020757
89,327,-0.06887356174304929,-0.04606270657889805,0.8845041793611487,0.9506679155532487,0.004543061185344128,0.004675602163235006,-0.6512123103020417,-0.11406116998700241,-0.28758213469145805,-0.44723739848560595,0.4347718261716773,0.5361080717111354,0.08350357507660879
89,403,-0.05716830828169417,-0.06532808472300516,0.9155200411553464,0.890267554995084,0.0030422223895130254,0.0025842315617603134,-0.6407535667636011,-0.23667418839370857,-0.3301103026844303,-0.44515636133312986,0.484327199150614,0.4937934474074712,0.10291113381001021
87,360,-0.0858874661669076,-0.08584950170896746,0.8490188092182207,0.874474609971984,0.0026866455043780798,0.0033695132921502504,-0.6365145367644613,-0.10487446029457906,-0.21041059379989763,-0.2803883228818064,0.4496172536341835,0.5306288580246914,0.09623095429029672
94,225,-0.05126225307242134,-0.04556630560962199,0.7247532918012127,0.7846379247816974,0.0027993825252653174,0.0030337408267626393,-0.7059372035099631,-0.074377314427877,-0.20059526663816704,-0.2374109537233201,0.43302285476198515,0.5110814814814814,0.051475634866163356
