node_name,change_efficiency,degree,sum_edge_weights,eigen_centrality,betweenness,bonacich,sex_binary,perc_related
ID0002,3.56118283947049e-4,22,1.50619472660281,0.108333379245235,0,0.0224857753512101,1,0.3181818181818182
ID0013,5.21023260064202e-4,18,1.22352304283168,0.0207447394581048,188,-0.00239631164836453,1,0.3333333333333333
ID0024,-8.44360802859156e-4,32,7.30620038324067,0.743264685587762,94,0.00225735359131742,0,0.21875
ID0042,-5.74175918455766e-5,23,2.57603695912782,0.0305550626123668,115,-0.00937571296172582,1,0.2608695652173913
ID0043,-7.59236071419533e-4,34,6.38715227223433,0.634179653859836,59,0.00807593764099819,0,0.11764705882352941
ID0049,5.9144439833364e-4,19,1.25238646646234,0.0555083911769088,4,0.0277615667753198,1,0.15789473684210525
ID0051,-0.00150129844815039,38,8.98233573087938,0.862833128709583,70,0.0153064552927625,0,0
ID0054,-0.00109760697562705,48,4.2900985276904,0.147671068562599,94,0.0209945869795892,1,0.3541666666666667
ID0064,-0.00132460195452705,42,9.59640408820955,0.947092259190872,2,0.0191722892128104,0,0.21428571428571427
ID0067,-0.00113393877011808,43,9.0500852040387,0.860443272283261,2,0.0033871322678727,0,0.18604651162790697
ID0085,-0.00104149044981872,43,8.43565746346004,0.807387096286407,27,0.0033871322678727,0,0
ID0122,-9.45423824670832e-4,40,7.7189269114348,0.748191681117493,2,0.0230024558464428,0,0.125
ID0004,-0.00120762505231248,47,7.77594204378625,0.647100088577712,106,0.0167595915686363,0,0.1702127659574468
ID0003,-0.0011958794350489,48,7.50940600093065,0.614937459566935,108,-0.00244903797825597,0,0
ID0018,-2.17447493354395e-4,26,3.13508587927411,0.0897697108319568,14,0.0253030936900947,1,0
ID0022,-0.00111543302953748,37,8.91749308696263,0.905241985930197,14,0.010938018745945,0,0.24324324324324326
ID0029,-6.97993873581937e-4,39,4.22981734821451,0.0613839666260952,27,0.0184720627607489,1,0.2564102564102564
ID0031,-0.00146673266650532,50,7.66367772805007,0.645558630242847,5,0.0220829986307061,0,0.24
ID0038,2.08680846735088e-4,24,1.78093534811929,0.114423132366674,20,0.0235982193019728,1,0.25
ID0040,-9.2298754574055e-4,22,2.35664075361846,0.0752464057758629,50,0.0312915495642952,1,0.13636363636363635
ID0048,9.30303220725792e-4,10,0.776784696784697,0.0810659117488901,0,-0.00959105985466027,1,0.1
ID0050,-0.00154707376231839,43,4.95219863810593,0.110100153653974,197,0.0127427707987868,1,0.27906976744186046
ID0052,-0.00125603262717916,45,5.58716293025,0.142136012362427,121,0.0171376523352627,0,0.08888888888888889
ID0053,4.16344837456395e-4,20,1.59292325823876,0.0743653705170171,2,-0.00259765045672466,0,0
ID0072,-1.42746854049192e-4,26,3.05390971779449,0.136622977319907,5,0.0137774200006965,1,0.34615384615384615
ID0075,-0.00140208122563679,41,9.68754752143527,0.972567120212872,2,0.0118699299453559,0,0.17073170731707318
ID0078,-1.29540441109743e-4,30,3.30121529449942,0.121366312741449,63,0.00876198336597829,1,0.2
ID0087,-0.00127864106187803,39,10.1575728191916,1,97,0.00592025590491664,0,0
ID0088,-4.64208281097389e-4,27,2.77671149030543,0.0761851353535454,68,0.00188891380626772,0,0.25925925925925924
ID0103,-7.33083458091921e-4,48,3.7540131923693,0.145582628033839,94,0.0109850780686617,1,0.2708333333333333
ID0120,-0.00105384910582829,40,5.43152821348249,0.14260044943249,26,0.0104202781977531,0,0.125
ID0129,-8.85489752084079e-4,38,5.39545424470767,0.382215602119161,71,0.00246895269541404,1,0.34210526315789475
ID0005,-0.00132565468471585,45,6.77299511372667,0.576846123869142,64,0.0333710687670444,1,0.3333333333333333
ID0014,-0.00147955536139976,42,9.45910229192441,0.923306465517293,74,0.0333481249665643,0,0.14285714285714285
ID0016,-0.00100302155786897,38,5.3998397733615,0.131730212869282,40,0.00545242504134699,0,0.10526315789473684
ID0023,-6.7098920900438e-4,37,3.58523946667322,0.276688838436584,70,-0.0102987462256434,1,0.2972972972972973
ID0025,-0.00677043172886976,29,1.98116932322029,0.0601045395900765,140,0.00404180621825616,1,0.20689655172413793
ID0070,-0.00156281811292402,42,6.7866810787572,0.609281214856574,18,-0.0014722727931702,0,0
ID0077,-9.32901756239946e-4,45,4.69508656911741,0.243304485449788,69,0.00367245669344348,1,0.37777777777777777
ID0094,-0.00114236765065706,44,6.9701744452242,0.586682449192257,69,0.013647973544666,0,0.18181818181818182
ID0104,-5.29194685145784e-4,30,3.75573770967949,0.24183078707526,68,0.0239447335410155,1,0
ID0008,-2.12382636090969e-4,26,4.63436383800196,0.468990104453995,5,0.00411561138825987,0,0
ID0010,-5.40739032709514e-4,36,4.12660227769985,0.0794854139755385,13,0.012491608964614,1,0.16666666666666666
ID0028,7.41746898074824e-4,15,1.35825503135382,0.0316466133273917,0,0.0250355789374721,0,0.13333333333333333
ID0057,4.21628173169486e-5,24,3.18157273574491,0.0274295325124571,17,0.0305608284988548,0,0.375
ID0083,-0.00125883078711231,39,9.90350362845203,0.9746829622986,7,0.00592025590491665,0,0.20512820512820512
ID0126,-0.00154372198066571,49,5.81412728120733,0.328841649135708,113,0.0272095770402369,1,0.12244897959183673
ID0130,-4.67030900651422e-4,27,3.10996033960179,0.0908234360079787,9,4.68801310188767e-4,1,0.2222222222222222
ID0007,8.11578203659125e-4,8,1.14898981008821,0.00865320319980258,52,0.0168734138248671,0,0
