sname,sex,birth,statdate,mom,dad
VIA,M,1998-10-18T00:00:00Z,2001-12-12T00:00:00Z,VEL,ORB
VEI,M,1995-08-30T00:00:00Z,2008-06-27T00:00:00Z,VEL,TUZ
THR,M,2000-02-15T00:00:00Z,2008-06-28T00:00:00Z,VET,VEG
VOC,M,1998-07-30T00:00:00Z,1999-07-09T00:00:00Z,VIN,PIS
VAP,M,1996-12-21T00:00:00Z,2008-06-27T00:00:00Z,VIN,TUZ
YAN,M,2001-07-05T00:00:00Z,2008-06-28T00:00:00Z,VIN,KER
EPS,M,2000-02-15T00:00:00Z,2001-04-22T00:00:00Z,VIO,LIO
VAZ,M,1995-02-14T00:00:00Z,2002-10-17T00:00:00Z,VIV,TUZ
VIL,M,1993-02-04T00:00:00Z,2008-03-22T00:00:00Z,VIV,INZ
VIP,M,1991-11-29T00:00:00Z,2007-06-06T00:00:00Z,VIX,NGG
VIB,M,1998-08-29T00:00:00Z,2008-06-27T00:00:00Z,VIX,MLO
VOY,M,1997-02-12T00:00:00Z,2008-06-27T00:00:00Z,VIX,PIS
ROM,M,2000-05-27T00:00:00Z,2000-11-06T00:00:00Z,VOR,\N
VAT,M,1997-01-18T00:00:00Z,2001-05-05T00:00:00Z,VOR,MLO
VAN,M,1992-08-10T00:00:00Z,2003-08-16T00:00:00Z,VOR,INZ
